playlist_idx,cluster,relevance,diversity,serendipity
2893,1,0.49923921958324685,0.4521964969036951,0.13097568037791824
2900,2,0.6714032965239073,0.3359959345897495,0.14432860830120164
2912,0,0.5780488606865621,0.2802517724802679,0.1175988349974243
2943,3,0.5416446538050456,0.5052785182408082,0.2221438499401427
3001,1,0.6412648848105479,0.3029528703423139,0.11397016038043008
3024,2,0.6379695073953753,0.3153051078774852,0.1400632922991507
3046,3,0.4905461169435123,0.35421185700484914,0.1760560311742736
3049,2,0.6950231889440633,0.3041059397189947,0.14699854820517846
3062,1,0.7099404343423612,0.32331831836580427,0.17346435027742407
3078,1,0.5803871544350909,0.4710985749250475,0.35488856189151274
3082,3,0.6447713264680233,0.2259282579839268,0.15748619473996614
3099,1,0.7130240676392287,0.319796671318773,0.14678598648561333
3108,1,0.696525923830523,0.2766547038287328,0.11087958259127378
3111,0,0.6207573173532339,0.2689837513945167,0.09995006387037413
3118,0,0.6752423756691694,0.2768758706765916,0.12174143434533084
3123,2,0.5985922609552304,0.32355009067892904,0.10697200438935202
3174,3,0.43146667057813237,0.48995091711110605,0.2616156832113721
3191,2,0.5815098885614164,0.3375980922157594,0.10973019932461964
3197,0,0.6542870161062542,0.2317131946757126,0.12264093329319285
3222,3,0.4413019708760469,0.36009362902683917,0.09649984015558158
3225,3,0.5641147559128556,0.4438098574496341,0.1557186920953079
3233,0,0.6856890700644346,0.2807753601138403,0.11379328792626778
3254,3,0.555345181551635,0.459872620976723,0.1575178371853828
3261,3,0.4068838507936341,0.5857725837380916,0.15938588487817987
3296,1,0.7218981633071943,0.29626560085264564,0.1298613258778799
3298,3,0.5259521550784471,0.46670540487219814,0.16262760034836352
3302,3,0.5090789120446698,0.3949509707817078,0.1428392067578666
3316,2,0.6567729918614669,0.32667154707258494,0.2542787876989277
3322,2,0.536750240923077,0.3079647342403772,0.09710653215800094
3328,3,0.5994459416200898,0.33769442639002,0.11542649685217223
3338,2,0.6132364069865294,0.29732560459343294,0.2521711539861545
3340,3,0.4606649213347997,0.5220161085227579,0.27547984097626976
3351,1,0.7329754141561937,0.33105778933369356,0.36074762356689144
3357,1,0.7028041411514333,0.28468936783643717,0.1886241974322652
3369,2,0.6565363500861456,0.3008457663402254,0.11041015830413754
3387,1,0.603607449147876,0.36754663756617967,0.1278635274681792
3388,1,0.5721098322382447,0.32384165862178727,0.11271053888875492
3391,3,0.4440224785770613,0.4960673842429174,0.27307678616286163
3397,1,0.6745545185917596,0.33314066033011747,0.1431959175000073
3406,2,0.6723296471363672,0.328155006400344,0.36015807481449985
3416,2,0.6376992503832075,0.33144123940249426,0.13697553545430088
3423,1,0.7120588877131723,0.2751881392215345,0.18612147410907506
3426,1,0.662704363688071,0.3341622219999131,0.16142542464620463
3441,0,0.6816291077165156,0.2898767149388338,0.14769798805770784
3449,3,0.5498601522658554,0.48019288975622576,0.3488114015638978
3452,3,0.539196892845261,0.3041251040780134,0.2021686461155837
3462,1,0.5771768022065752,0.5136727582278708,0.1947922205799279
3491,3,0.6381008054314897,0.35970035819839885,0.2501657467051686
3503,1,0.5901126068587554,0.46943490665961174,0.19970030293172641
3545,1,0.6353592475931018,0.34588977432705015,0.13144381506750316
3549,2,0.6410060917432532,0.3299934457830499,0.1273812115979659
3553,1,0.7116847519764337,0.2859961757368221,0.2007880655008602
3554,3,0.4306506024573558,0.5271810962880614,0.26002379914172297
3567,2,0.6940110542183741,0.316925671983471,0.284989509631259
