track_name,track_uri,previewUrl
I'm So High,spotify:track:0CMksBkbZqSfLT79gUuW2O,https://p.scdn.co/mp3-preview/ff1d74ee49c47642407763b93df7819bbc72c0bf
Summer Night (Remix Ver.) [feat. Hoody],spotify:track:2StZCouHC4MLNXioGHCUXP,https://p.scdn.co/mp3-preview/ff162c83c222d0c508930675f627e03f78271031
Addicted To A Memory,spotify:track:2DZ02lWzt1yTnTNyRIMtnu,https://p.scdn.co/mp3-preview/ff15cb2ac3807fd1d63e63adf21e5a48956615a5
Undun,spotify:track:3zsWzIGaMYfB8V9dPx2nge,https://p.scdn.co/mp3-preview/ff147cbe9d37e0c616769ecff806113c2085eea4
Somebody To Love,spotify:track:19Qlz0c9m66XYJnwLK6TWj,https://p.scdn.co/mp3-preview/ff1274aa7be3ebef570da559834d6f908d1e439b
Welcome To Your Life,spotify:track:4hAhyE1iL07EIUJnqw2bsV,https://p.scdn.co/mp3-preview/ff11b919beddf176523613ee7a22f35b25d756af
Bloody Presto con Brio,spotify:track:6oypxsmJehmBAAYW4tSaME,https://p.scdn.co/mp3-preview/ff0eee003bcdc4ae2b7868d0f8c6e52c436a3ac2
Leg Over (feat. French Montana & Ty Dolla $ign) - Remix,spotify:track:6wY7UCcCL747RmINUfT9Pl,https://p.scdn.co/mp3-preview/ff0dbdbfcf4032480b1a690211c214eb19fc5a88
New Beginning,spotify:track:1gImv6j9j1H4pCvuIUtAoa,https://p.scdn.co/mp3-preview/ff0da173b3cdd85785087298002e2b8a7fd91f32
Wieso?,spotify:track:7mdlZsVJD6HcPuwS3k7e68,https://p.scdn.co/mp3-preview/ff0bf9bf71c607d7d1e5ab28f6dee4a7629e9d34
Décalé Gwada,spotify:track:6m9geVsbI6BsPZ6CESmK3c,https://p.scdn.co/mp3-preview/ff0b9020d34d14456696a6a5dfa727e8c608f188
A Violent Noise,spotify:track:661bbtA19xopO3lH0J4Qvr,https://p.scdn.co/mp3-preview/ff0b7087eac6645d0c6eafa6d5831c8a5e3ff5ac
